RETAILER_CODE,RANG,GAME_CODE_RECOMMANDE,SCORE_POPULARITE_GLOBALE
21110401,2,7,98673810738
21110401,3,5,95018824448
21110401,4,4,85292751855
21110401,5,9,49803705582
21111301,1,6,110542381206
21111301,2,7,98673824793
21111301,3,5,95018831938
21111301,4,2,92591841672
21111301,5,4,85292762690
21117001,1,6,110542381444
21117001,2,3,100484510032
21117001,3,7,98673824793
21117001,4,5,95018832108
21117001,5,2,92591841567
21125901,1,6,110542319957
21125901,2,5,95018729689
21125901,3,4,85292762690
21125901,4,1,59492597430
21125901,5,10,51487674237
21126501,1,6,110542312705
21126501,2,7,98673749033
21126501,3,5,95018832108
21126501,4,4,85292762690
21126501,5,1,59492634564
21126700,1,6,110542203433
21126700,2,5,95018590042
21126700,3,4,85292622960
21126700,4,1,59492388495
21126700,5,10,51487548258
21146501,1,3,100484211473
21146501,2,7,98673487367
21146501,3,2,92591841905
21146501,4,1,59492690176
21146501,5,10,51487266808
21146701,1,6,110542381444
21146701,2,3,100484510032
21146701,3,7,98673824793
21146701,4,5,95018832108
21146701,5,2,92591841905
21146901,1,6,110542381444
21146901,2,3,100484474541
21146901,3,2,92591750106
21146901,4,4,85292762690
21146901,5,1,59492612633
21200301,1,6,110542381444
21200301,2,3,100484510032
21200301,3,7,98673824793
21200301,4,5,95018832108
21200301,5,2,92573669736
21200501,1,3,100484510032
21200501,2,7,98673824793
21200501,3,5,95018832108
21200501,4,4,85292075823
21200501,5,1,59492143483
21201230,1,3,100351243617
21201230,2,5,95018832108
21201230,3,2,92591841905
21201230,4,4,85161814350
21201230,5,1,59492690176
21201901,1,3,100484510032
21201901,2,7,98673824793
21201901,3,5,95018832108
21201901,4,2,92340647390
21201901,5,4,85292762690
21202250,1,3,100481271048
21202250,2,7,98671692482
21202250,3,5,95018832108
21202250,4,1,59489718323
21202250,5,10,51487674237
21211401,1,7,98673815919
21211401,2,5,95018802448
21211401,3,2,92591813022
21211401,4,4,85292762690
21211401,5,1,59492681831
21217101,1,3,100484510032
21217101,2,5,94977921909
21217101,3,2,92591841905
21217101,4,4,85223618125
21217101,5,1,59413530305
21226200,1,6,110542381444
21226200,2,3,100484510032
21226200,3,7,98673711322
21226200,4,2,92591726487
21226200,5,4,85292762690
21300301,1,6,110542381444
21300301,2,3,100457611542
21300301,3,5,94998412613
21300301,4,4,85260528586
21300301,5,1,59492690176
21301010,1,7,98557017801
21301010,2,5,94723665788
21301010,3,4,85292762690
21301010,4,1,59492690176
21301010,5,10,51231855997
21302201,1,3,100475519787
21302201,2,5,95018832108
21302201,3,2,92591841905
21302201,4,4,85292762690
21302201,5,1,59489461389
21302301,1,6,110541886666
21302301,2,3,100484510032
21302301,3,4,85292489919
21302301,4,10,51487318241
21302301,5,9,49803373561
21302401,1,3,100484510032
21302401,2,7,98673824793
21302401,3,5,95018832108
21302401,4,2,92590920069
21302401,5,1,59492690176
21400110,1,7,98673761247
21400110,2,5,95018796880
21400110,3,2,92591841905
21400110,4,4,85292718929
21400110,5,10,51487633954
21400210,1,6,110542323649
21400210,2,7,98673771590
21400210,3,5,95018805007
21400210,4,4,85292743949
21400210,5,10,51487633394
21400401,1,6,110542381444
21400401,2,3,100484510032
21400401,3,7,98673824793
21400401,4,5,95018832108
21400401,5,2,92591723554
21517001,1,6,110542142969
21517001,2,7,98673824793
21517001,3,2,92591510540
21517001,4,1,59492531369
21517001,5,10,51487429016
21900001,1,6,110542381444
21900001,2,3,100484510032
21900001,3,7,98673824533
21900001,4,5,95018832108
21900001,5,4,85292762690
22000001,1,6,110542381444
22000001,2,3,100484510032
22000001,3,7,98673824793
22000001,4,5,95016448203
22000001,5,2,92591841905
22000101,1,6,110542381444
22000101,2,3,100484510032
22000101,3,7,98673824793
22000101,4,5,95018832108
22000101,5,2,92591841905
22000201,1,6,110542381444
22000201,2,3,100484510032
22000201,3,7,98673824793
22000201,4,5,95018832108
22000201,5,2,92591841905
22000301,1,6,110542381444
22000301,2,3,100484510032
22000301,3,7,98673824793
22000301,4,5,95018832108
22000301,5,4,85292762356
25400101,1,7,83231155843
25400101,2,4,72272381070
25400101,3,2,68468676845
25400101,4,1,59492690176
25400101,5,10,51487674237
25400401,1,6,110542381444
25400401,2,3,100484510032
25400401,3,7,98673824793
25400401,4,5,95018832108
25400401,5,2,92591841905
25400601,1,6,110542381444
25400601,2,3,100484510032
25400601,3,7,98673824793
25400601,4,5,95018832108
25400601,5,2,92591841905
25400701,1,5,95018819337
25400701,2,4,85292749909
25400701,3,1,59492682269
25400701,4,10,51487668859
25400701,5,9,49803699150
25400801,1,6,110508325760
25400801,2,7,98649964876
25400801,3,5,94975907024
25400801,4,1,59398599159
25400801,5,9,49803711446
25400901,1,6,110542381444
25400901,2,3,100484510032
25400901,3,7,98673824793
25400901,4,5,95018832108
25400901,5,2,92591841905
25401101,1,6,110542381444
25401101,2,3,100484510032
25401101,3,7,98673824793
25401101,4,5,95018832108
25401101,5,2,92591841905
25401201,1,6,110542381444
25401201,2,3,100484510032
25401201,3,7,98673824793
25401201,4,5,95018832108
25401201,5,2,92591841905
25401301,1,6,110542381444
25401301,2,7,98673824793
25401301,3,5,95018832108
25401301,4,2,92591841905
25401301,5,4,85288541788
25401501,1,7,98673824793
25401501,2,2,92591841905
25401501,3,4,85292762690
25401501,4,1,59492689800
25401501,5,10,51487673923
25401601,1,6,110517471716
25401601,2,7,98648498279
25401601,3,5,94992567357
25401601,4,2,92591841905
25401601,5,1,59492690176
25401701,1,6,110542381444
25401701,2,3,100484510032
25401701,3,7,98673824793
25401701,4,5,95018832108
25401701,5,2,92591841905
25401801,1,5,94548883160
25401801,2,2,92235263380
25401801,3,4,84831917390
25401801,4,1,59130571337
25401801,5,10,51487674237
25401901,1,6,110542381444
25401901,2,3,100484510032
25401901,3,5,95018823492
25401901,4,2,92591837856
25401901,5,4,85292762690
26100201,1,6,110542366839
26100201,2,5,95018814923
26100201,3,2,92591820436
26100201,4,4,85292745687
26100201,5,9,49803688964
26100301,1,3,100354487841
26100301,2,7,98673824793
26100301,3,5,94865615434
26100301,4,4,85292762690
26100301,5,1,59383581441
26100401,1,6,110542381444
26100401,2,3,100484510032
26100401,3,7,98673824793
26100401,4,5,95018832108
26100401,5,2,92591841905
26100501,1,6,110542381444
26100501,2,3,100484510032
26100501,3,7,98673824793
26100501,4,5,95018832108
26100501,5,2,92591841905
26108101,1,3,100478820363
26108101,2,7,98669958102
26108101,3,5,95018832108
26108101,4,2,92585208412
26108101,5,4,85288273767
26115701,1,6,110542381444
26115701,2,3,100484510032
26115701,3,7,98673823125
26115701,4,5,95018832108
26115701,5,1,59492688281
26116600,1,6,110542379842
26116600,2,5,95018831073
26116600,3,2,92591841905
26116600,4,4,85292762119
26116600,5,10,51487674237
26118101,1,3,100484509540
26118101,2,7,98673824793
26118101,3,5,95018831894
26118101,4,2,92591841905
26118101,5,4,85292762690
28800001,1,6,110542381444
28800001,2,3,100484510032
28800001,3,7,98673824793
28800001,4,5,95018832108
28800001,5,2,92582364970
28800101,1,6,110542381444
28800101,2,3,100484510032
28800101,3,7,98673824793
28800101,4,5,95018832108
28800101,5,2,92591841905
28900201,1,3,100006200117
28900201,2,7,98673824793
28900201,3,5,95018832108
28900201,4,4,85127781282
28900201,5,1,59429826189
28900810,1,6,110541678802
28900810,2,3,100483370032
28900810,3,7,98673824793
28900810,4,2,92589955814
28900810,5,4,85292762690
28900901,1,3,100484227308
28900901,2,7,98673585938
28900901,3,5,95018511300
28900901,4,2,92591590288
28900901,5,10,51487674237
28901701,1,3,100327536055
28901701,2,7,98673824793
28901701,3,2,92591841905
28901701,4,4,85292762690
28901701,5,1,59492690176
28902701,1,3,100149107435
28902701,2,5,94678039226
28902701,3,2,92247098143
28902701,4,10,51155234350
28902701,5,9,49517459629
28903401,1,6,110540558183
28903401,2,7,98672656917
28903401,3,5,95017464504
28903401,4,1,59489629943
28903401,5,9,49799616725
28903701,1,6,110542381444
28903701,2,3,100484510032
28903701,3,7,98673824793
28903701,4,5,95018832108
28903701,5,2,92591841905
28904650,1,6,110542325979
28904650,2,7,98673704223
28904650,3,4,85292762690
28904650,4,1,59492690176
28904650,5,10,51487590603
28905301,1,6,110542381444
28905301,2,3,100484510032
28905301,3,7,98673824793
28905301,4,5,95018832108
28905301,5,2,92591841905
28905401,1,6,110471112888
28905401,2,3,100484510032
28905401,3,7,98569783252
28905401,4,5,95018832108
28905401,5,1,59428324077
28905601,1,6,110542381444
28905601,2,3,100484510032
28905601,3,7,98673824793
28905601,4,5,95018832108
28905601,5,2,92591841905
28905701,1,6,110542381444
28905701,2,3,100484510032
28905701,3,7,98673824793
28905701,4,5,95018832108
28905701,5,2,92591841905
28906401,1,3,100484510032
28906401,2,7,98673355694
28906401,3,5,95018560883
28906401,4,4,85292551903
28906401,5,1,59492690176
28906701,1,7,98666480441
28906701,2,2,92568238200
28906701,3,4,85277484173
28906701,4,10,51476387793
28906701,5,9,49789947273
28906801,1,6,110542297464
28906801,2,7,98673662462
28906801,3,4,85292619269
28906801,4,1,59492558005
28906801,5,10,51487674237
28907401,1,6,110542381444
28907401,2,3,100484447856
28907401,3,7,98673811281
28907401,4,2,92591841905
28907401,5,4,85292762690
28907901,1,3,100294500955
28907901,2,7,98673824793
28907901,3,5,94714018190
28907901,4,2,92333762563
28907901,5,4,85292762690
28908101,1,6,110542300746
28908101,2,7,98673740874
28908101,3,4,85292718032
28908101,4,1,59492690176
28908101,5,10,51487674237
28908401,1,3,100484503493
28908401,2,7,98673824793
28908401,3,2,92591835413
28908401,4,4,85292760215
28908401,5,10,51487669313
28908501,1,6,110542381444
28908501,2,3,100484510032
28908501,3,7,98673824793
28908501,4,5,95018832108
28908501,5,2,92591841905
28908750,1,6,110541981813
28908750,2,3,100484510032
28908750,3,7,98673824793
28908750,4,2,92591841905
28908750,5,4,85292762690
28908801,1,7,98673824793
28908801,2,5,95018832108
28908801,3,2,92591841905
28908801,4,4,85292648954
28908801,5,1,59492621362
28909001,1,6,110500765699
28909001,2,5,94936132527
28909001,3,4,85248078147
28909001,4,1,59447195753
28909001,5,10,51487674237
28909101,1,6,110330406940
28909101,2,7,98593325847
28909101,3,5,95018832108
28909101,4,2,92498023578
28909101,5,4,85292762690
28909201,1,6,110541498504
28909201,2,3,100484510032
28909201,3,7,98673824793
28909201,4,5,95018433288
28909201,5,1,59492193316
28909401,1,3,100447090502
28909401,2,7,98673824793
28909401,3,5,94994305394
28909401,4,2,92591841905
28909401,5,4,85260825755
28910101,1,6,110542378301
28910101,2,7,98673820743
28910101,3,5,95018832108
28910101,4,4,85292759366
28910101,5,1,59492686151
28911301,1,3,100483862802
28911301,2,5,95018832108
28911301,3,2,92591310354
28911301,4,10,51487247429
28911301,5,9,49803197633
28911601,1,6,110542381444
28911601,2,5,95018754698
28911601,3,2,92591814004
28911601,4,4,85292701666
28911601,5,1,59492629458
28911801,1,6,110540781604
28911801,2,3,100481005927
28911801,3,7,98673824793
28911801,4,5,95018832108
28911801,5,2,92591841905
28911901,1,6,110542354491
28911901,2,3,100484495850
28911901,3,7,98673824793
28911901,4,4,85292740935
28911901,5,1,59492668552
28914610,1,6,110542381444
28914610,2,3,100484510032
28914610,3,7,98673824793
28914610,4,5,95018766555
28914610,5,1,59492656015
28915320,1,6,110542366178
28915320,2,3,100484510032
28915320,3,2,92591800361
28915320,4,4,85292724848
28915320,5,1,59492661189
28916801,1,6,110542381444
28916801,2,3,100484510032
28916801,3,7,98673824793
28916801,4,5,95007801397
28916801,5,4,85292762690
28917401,1,6,110542381444
28917401,2,3,100484510032
28917401,3,7,98673824793
28917401,4,5,95018832108
28917401,5,2,92591841905
28917801,1,6,110542381444
28917801,2,3,100484510032
28917801,3,7,98673824793
28917801,4,5,95018832108
28917801,5,2,92591841905
28918001,1,6,110542381444
28918001,2,3,100484510032
28918001,3,7,98673824793
28918001,4,5,95018832108
28918001,5,2,92591841905
28918101,1,6,110542381444
28918101,2,3,100484510032
28918101,3,7,98673824793
28918101,4,5,95018832108
28918101,5,4,85292757664
28918601,1,6,110542381444
28918601,2,3,100484510032
28918601,3,7,98673824793
28918601,4,5,95018832108
28918601,5,2,92591841905
28923050,1,6,110542042298
28923050,2,3,100484139980
28923050,3,7,98673373143
28923050,4,2,92591841905
28923050,5,10,51487674237
28923250,1,6,110542381444
28923250,2,3,100484510032
28923250,3,5,95018832108
28923250,4,2,92591841905
28923250,5,4,85080352542
28929901,1,6,110542381444
28929901,2,3,100484510032
28929901,3,7,98673824793
28929901,4,5,95018832108
28929901,5,2,92591841905
28936501,1,6,110542381444
28936501,2,3,100484497788
28936501,3,7,98673824793
28936501,4,2,92591841905
28936501,5,4,85292741403
28956501,1,6,110541935043
28956501,2,3,100484510032
28956501,3,7,98673824793
28956501,4,2,92591565408
28956501,5,4,85292445614
29000001,1,6,110177503479
29000001,2,3,100120926364
29000001,3,1,59220014645
29000001,4,10,51214212415
29000001,5,9,49502017258
29000101,1,6,110542381444
29000101,2,7,98515502201
29000101,3,5,94893263691
29000101,4,4,85118685074
29000101,5,10,51286967081
29001301,1,6,110542381444
29001301,2,3,100484510032
29001301,3,7,98673824793
29001301,4,5,95018832108
29001301,5,2,92591841905
29001500,1,6,110540853896
29001500,2,3,100482221574
29001500,3,7,98672964051
29001500,4,2,92589571440
29001500,5,9,49801517331
29001601,1,6,110542195435
29001601,2,5,95018585398
29001601,3,2,92591609136
29001601,4,10,51487674237
29001601,5,9,49803488434
29002201,1,3,100484510032
29002201,2,7,98673824793
29002201,3,5,94843522219
29002201,4,1,59427615650
29002201,5,10,51487674237
29002830,1,6,110542381444
29002830,2,3,100484510032
29002830,3,7,98673824793
29002830,4,5,95018832108
29002830,5,2,92591841905
29003301,1,6,110542381444
29003301,2,3,100484510032
29003301,3,7,98673824793
29003301,4,5,95018832108
29003301,5,2,92591841905
29003601,1,6,110542359510
29003601,2,3,100484492353
29003601,3,5,95018810551
29003601,4,4,85292762690
29003601,5,9,49803696232
29005201,1,3,100484510032
29005201,2,5,95018831544
29005201,3,2,92591841306
29005201,4,4,85292761892
29005201,5,1,59492690176
29005301,1,6,110542381444
29005301,2,3,100484510032
29005301,3,7,98673824793
29005301,4,5,95018832108
29005301,5,2,92591841905
29005701,1,6,110542381444
29005701,2,3,100484510032
29005701,3,7,98673824793
29005701,4,5,95018832108
29005701,5,2,92591841905
29008901,1,6,110542260748
29008901,2,5,95018832108
29008901,3,2,92591785279
29008901,4,4,85292762690
29008901,5,1,59492468521
29011001,1,6,110160580734
29011001,2,3,100484510032
29011001,3,7,98673824793
29011001,4,4,84940206239
29011001,5,10,51137608606
29011601,1,6,110542381444
29011601,2,3,100484510032
29011601,3,7,98673824793
29011601,4,5,95018832108
29011601,5,2,92591841905
29015601,1,3,100100034614
29015601,2,5,95018832108
29015601,3,2,92140375370
29015601,4,4,85111735879
29015601,5,1,59492690176
29016700,1,6,110542091985
29016700,2,7,98673824793
29016700,3,5,95018579888
29016700,4,4,85292434517
29016700,5,1,59492274655
29019750,1,3,100484489354
29019750,2,7,98673806417
29019750,3,5,95018812767
29019750,4,1,59492663972
29019750,5,10,51487674237
29022030,1,5,95018711461
29022030,2,2,92591841905
29022030,3,4,85292717652
29022030,4,1,59492630123
29022030,5,9,49803633185
29022150,1,6,110542380327
29022150,2,3,100484502273
29022150,3,7,98673821169
29022150,4,5,95018829860
29022150,5,1,59492690176
29022201,1,6,110542381444
29022201,2,3,100484510032
29022201,3,7,98673824793
29022201,4,5,95018832108
29022201,5,2,92591841905
29100710,1,3,100095886915
29100710,2,7,98147113067
29100710,3,2,92591841905
29100710,4,10,50835675455
29100710,5,9,49119836778
29101010,1,6,110535135956
29101010,2,5,95018832108
29101010,3,2,92591841905
29101010,4,4,85257432615
29101010,5,1,59492690176
29101201,1,6,110542156812
